token                              over                                     scheme   ratio floor  verdict
brand.forest                       apple-row                                light     8.84   4.5  pass
brand.forest                       apple-form                               light     8.84   4.5  pass
brand.forest                       apple-grouped                            light     7.93   4.5  pass
brand.forest                       apple-sidebar                            light     7.30   4.5  pass
brand.forest                       android-surface                          light     8.63   4.5  pass
brand.forest                       react-bg                                 light     8.20   4.5  pass
brand.forest                       react-pane                               light     8.62   4.5  pass
brand.forest                       react-hover                              light     7.78   4.5  pass
accent.forest.fg                   apple-row                                light     8.84   4.5  pass
accent.forest.fg                   apple-form                               light     8.84   4.5  pass
accent.forest.fg                   apple-grouped                            light     7.93   4.5  pass
accent.forest.fg                   apple-sidebar                            light     7.30   4.5  pass
accent.forest.fg                   android-surface                          light     8.63   4.5  pass
accent.forest.fg                   react-bg                                 light     8.20   4.5  pass
accent.forest.fg                   react-pane                               light     8.62   4.5  pass
accent.forest.fg                   react-hover                              light     7.78   4.5  pass
accent.forest.fill                 apple-row                                light     8.84   3.0  pass
accent.forest.fill                 apple-form                               light     8.84   3.0  pass
accent.forest.fill                 apple-grouped                            light     7.93   3.0  pass
accent.forest.fill                 apple-sidebar                            light     7.30   3.0  pass
accent.forest.fill                 android-surface                          light     8.63   3.0  pass
accent.forest.fill                 react-bg                                 light     8.20   3.0  pass
accent.forest.fill                 react-pane                               light     8.62   3.0  pass
accent.forest.fill                 react-hover                              light     7.78   3.0  pass
accent.forest.on-fill              accent.forest.fill                       light     8.57   4.5  pass
accent.ink.fg                      apple-row                                light    13.70   4.5  pass
accent.ink.fg                      apple-form                               light    13.70   4.5  pass
accent.ink.fg                      apple-grouped                            light    12.28   4.5  pass
accent.ink.fg                      apple-sidebar                            light    11.31   4.5  pass
accent.ink.fg                      android-surface                          light    13.36   4.5  pass
accent.ink.fg                      react-bg                                 light    12.71   4.5  pass
accent.ink.fg                      react-pane                               light    13.36   4.5  pass
accent.ink.fg                      react-hover                              light    12.05   4.5  pass
accent.ink.fill                    apple-row                                light    13.70   3.0  pass
accent.ink.fill                    apple-form                               light    13.70   3.0  pass
accent.ink.fill                    apple-grouped                            light    12.28   3.0  pass
accent.ink.fill                    apple-sidebar                            light    11.31   3.0  pass
accent.ink.fill                    android-surface                          light    13.36   3.0  pass
accent.ink.fill                    react-bg                                 light    12.71   3.0  pass
accent.ink.fill                    react-pane                               light    13.36   3.0  pass
accent.ink.fill                    react-hover                              light    12.05   3.0  pass
accent.ink.on-fill                 accent.ink.fill                          light    13.28   4.5  pass
accent.oxblood.fg                  apple-row                                light     9.02   4.5  pass
accent.oxblood.fg                  apple-form                               light     9.02   4.5  pass
accent.oxblood.fg                  apple-grouped                            light     8.08   4.5  pass
accent.oxblood.fg                  apple-sidebar                            light     7.44   4.5  pass
accent.oxblood.fg                  android-surface                          light     8.80   4.5  pass
accent.oxblood.fg                  react-bg                                 light     8.37   4.5  pass
accent.oxblood.fg                  react-pane                               light     8.79   4.5  pass
accent.oxblood.fg                  react-hover                              light     7.93   4.5  pass
accent.oxblood.fill                apple-row                                light     9.02   3.0  pass
accent.oxblood.fill                apple-form                               light     9.02   3.0  pass
accent.oxblood.fill                apple-grouped                            light     8.08   3.0  pass
accent.oxblood.fill                apple-sidebar                            light     7.44   3.0  pass
accent.oxblood.fill                android-surface                          light     8.80   3.0  pass
accent.oxblood.fill                react-bg                                 light     8.37   3.0  pass
accent.oxblood.fill                react-pane                               light     8.79   3.0  pass
accent.oxblood.fill                react-hover                              light     7.93   3.0  pass
accent.oxblood.on-fill             accent.oxblood.fill                      light     8.74   4.5  pass
accent.azure.fg                    apple-row                                light     5.97   4.5  pass
accent.azure.fg                    apple-form                               light     5.97   4.5  pass
accent.azure.fg                    apple-grouped                            light     5.35   4.5  pass
accent.azure.fg                    apple-sidebar                            light     4.93   4.5  pass
accent.azure.fg                    android-surface                          light     5.83   4.5  pass
accent.azure.fg                    react-bg                                 light     5.54   4.5  pass
accent.azure.fg                    react-pane                               light     5.82   4.5  pass
accent.azure.fg                    react-hover                              light     5.25   4.5  pass
accent.azure.fill                  apple-row                                light     5.97   3.0  pass
accent.azure.fill                  apple-form                               light     5.97   3.0  pass
accent.azure.fill                  apple-grouped                            light     5.35   3.0  pass
accent.azure.fill                  apple-sidebar                            light     4.93   3.0  pass
accent.azure.fill                  android-surface                          light     5.83   3.0  pass
accent.azure.fill                  react-bg                                 light     5.54   3.0  pass
accent.azure.fill                  react-pane                               light     5.82   3.0  pass
accent.azure.fill                  react-hover                              light     5.25   3.0  pass
accent.azure.on-fill               accent.azure.fill                        light     5.79   4.5  pass
accent.amber.fg                    apple-row                                light     6.32   4.5  pass
accent.amber.fg                    apple-form                               light     6.32   4.5  pass
accent.amber.fg                    apple-grouped                            light     5.66   4.5  pass
accent.amber.fg                    apple-sidebar                            light     5.22   4.5  pass
accent.amber.fg                    android-surface                          light     6.16   4.5  pass
accent.amber.fg                    react-bg                                 light     5.86   4.5  pass
accent.amber.fg                    react-pane                               light     6.16   4.5  pass
accent.amber.fg                    react-hover                              light     5.56   4.5  pass
accent.amber.fill                  apple-row                                light     6.32   3.0  pass
accent.amber.fill                  apple-form                               light     6.32   3.0  pass
accent.amber.fill                  apple-grouped                            light     5.66   3.0  pass
accent.amber.fill                  apple-sidebar                            light     5.22   3.0  pass
accent.amber.fill                  android-surface                          light     6.16   3.0  pass
accent.amber.fill                  react-bg                                 light     5.86   3.0  pass
accent.amber.fill                  react-pane                               light     6.16   3.0  pass
accent.amber.fill                  react-hover                              light     5.56   3.0  pass
accent.amber.on-fill               accent.amber.fill                        light     6.13   4.5  pass
accent.plum.fg                     apple-row                                light     8.02   4.5  pass
accent.plum.fg                     apple-form                               light     8.02   4.5  pass
accent.plum.fg                     apple-grouped                            light     7.19   4.5  pass
accent.plum.fg                     apple-sidebar                            light     6.62   4.5  pass
accent.plum.fg                     android-surface                          light     7.82   4.5  pass
accent.plum.fg                     react-bg                                 light     7.44   4.5  pass
accent.plum.fg                     react-pane                               light     7.82   4.5  pass
accent.plum.fg                     react-hover                              light     7.05   4.5  pass
accent.plum.fill                   apple-row                                light     8.02   3.0  pass
accent.plum.fill                   apple-form                               light     8.02   3.0  pass
accent.plum.fill                   apple-grouped                            light     7.19   3.0  pass
accent.plum.fill                   apple-sidebar                            light     6.62   3.0  pass
accent.plum.fill                   android-surface                          light     7.82   3.0  pass
accent.plum.fill                   react-bg                                 light     7.44   3.0  pass
accent.plum.fill                   react-pane                               light     7.82   3.0  pass
accent.plum.fill                   react-hover                              light     7.05   3.0  pass
accent.plum.on-fill                accent.plum.fill                         light     7.78   4.5  pass
success.fg                         apple-row                                light     6.29   4.5  pass
success.fg                         apple-form                               light     6.29   4.5  pass
success.fg                         apple-grouped                            light     5.64   4.5  pass
success.fg                         apple-sidebar                            light     5.19   4.5  pass
success.fg                         android-surface                          light     6.13   4.5  pass
success.fg                         react-bg                                 light     5.83   4.5  pass
success.fg                         react-pane                               light     6.13   4.5  pass
success.fg                         react-hover                              light     5.53   4.5  pass
success.fg                         success.wash@apple-row                   light     5.25   4.5  pass
success.fg                         success.wash@apple-form                  light     5.25   4.5  pass
success.fg                         success.wash@android-surface             light     5.10   4.5  pass
success.fg                         success.wash@react-pane                  light     5.12   4.5  pass
success.fill                       apple-row                                light     6.29   3.0  pass
success.fill                       apple-form                               light     6.29   3.0  pass
success.fill                       apple-grouped                            light     5.64   3.0  pass
success.fill                       apple-sidebar                            light     5.19   3.0  pass
success.fill                       android-surface                          light     6.13   3.0  pass
success.fill                       react-bg                                 light     5.83   3.0  pass
success.fill                       react-pane                               light     6.13   3.0  pass
success.fill                       react-hover                              light     5.53   3.0  pass
success.on-fill                    success.fill                             light     6.10   4.5  pass
warning.fg                         apple-row                                light     7.03   4.5  pass
warning.fg                         apple-form                               light     7.03   4.5  pass
warning.fg                         apple-grouped                            light     6.30   4.5  pass
warning.fg                         apple-sidebar                            light     5.80   4.5  pass
warning.fg                         android-surface                          light     6.85   4.5  pass
warning.fg                         react-bg                                 light     6.52   4.5  pass
warning.fg                         react-pane                               light     6.85   4.5  pass
warning.fg                         react-hover                              light     6.18   4.5  pass
warning.fg                         warning.wash@apple-row                   light     5.82   4.5  pass
warning.fg                         warning.wash@apple-form                  light     5.82   4.5  pass
warning.fg                         warning.wash@android-surface             light     5.67   4.5  pass
warning.fg                         warning.wash@react-pane                  light     5.68   4.5  pass
warning.fill                       apple-row                                light     7.03   3.0  pass
warning.fill                       apple-form                               light     7.03   3.0  pass
warning.fill                       apple-grouped                            light     6.30   3.0  pass
warning.fill                       apple-sidebar                            light     5.80   3.0  pass
warning.fill                       android-surface                          light     6.85   3.0  pass
warning.fill                       react-bg                                 light     6.52   3.0  pass
warning.fill                       react-pane                               light     6.85   3.0  pass
warning.fill                       react-hover                              light     6.18   3.0  pass
warning.on-fill                    warning.fill                             light     6.81   4.5  pass
danger.fg                          apple-row                                light     7.36   4.5  pass
danger.fg                          apple-form                               light     7.36   4.5  pass
danger.fg                          apple-grouped                            light     6.60   4.5  pass
danger.fg                          apple-sidebar                            light     6.08   4.5  pass
danger.fg                          android-surface                          light     7.18   4.5  pass
danger.fg                          react-bg                                 light     6.83   4.5  pass
danger.fg                          react-pane                               light     7.18   4.5  pass
danger.fg                          react-hover                              light     6.47   4.5  pass
danger.fg                          danger.wash@apple-row                    light     5.95   4.5  pass
danger.fg                          danger.wash@apple-form                   light     5.95   4.5  pass
danger.fg                          danger.wash@android-surface              light     5.84   4.5  pass
danger.fg                          danger.wash@react-pane                   light     5.83   4.5  pass
danger.fill                        apple-row                                light     7.36   3.0  pass
danger.fill                        apple-form                               light     7.36   3.0  pass
danger.fill                        apple-grouped                            light     6.60   3.0  pass
danger.fill                        apple-sidebar                            light     6.08   3.0  pass
danger.fill                        android-surface                          light     7.18   3.0  pass
danger.fill                        react-bg                                 light     6.83   3.0  pass
danger.fill                        react-pane                               light     7.18   3.0  pass
danger.fill                        react-hover                              light     6.47   3.0  pass
danger.on-fill                     danger.fill                              light     7.14   4.5  pass
info.fg                            apple-row                                light     6.33   4.5  pass
info.fg                            apple-form                               light     6.33   4.5  pass
info.fg                            apple-grouped                            light     5.67   4.5  pass
info.fg                            apple-sidebar                            light     5.22   4.5  pass
info.fg                            android-surface                          light     6.18   4.5  pass
info.fg                            react-bg                                 light     5.87   4.5  pass
info.fg                            react-pane                               light     6.17   4.5  pass
info.fg                            react-hover                              light     5.57   4.5  pass
info.fg                            info.wash@apple-row                      light     5.29   4.5  pass
info.fg                            info.wash@apple-form                     light     5.29   4.5  pass
info.fg                            info.wash@android-surface                light     5.15   4.5  pass
info.fg                            info.wash@react-pane                     light     5.15   4.5  pass
info.fill                          apple-row                                light     6.33   3.0  pass
info.fill                          apple-form                               light     6.33   3.0  pass
info.fill                          apple-grouped                            light     5.67   3.0  pass
info.fill                          apple-sidebar                            light     5.22   3.0  pass
info.fill                          android-surface                          light     6.18   3.0  pass
info.fill                          react-bg                                 light     5.87   3.0  pass
info.fill                          react-pane                               light     6.17   3.0  pass
info.fill                          react-hover                              light     5.57   3.0  pass
info.on-fill                       info.fill                                light     6.14   4.5  pass
flagged.fg                         apple-row                                light     6.39   4.5  pass
flagged.fg                         apple-form                               light     6.39   4.5  pass
flagged.fg                         apple-grouped                            light     5.73   4.5  pass
flagged.fg                         apple-sidebar                            light     5.27   4.5  pass
flagged.fg                         android-surface                          light     6.23   4.5  pass
flagged.fg                         react-bg                                 light     5.93   4.5  pass
flagged.fg                         react-pane                               light     6.23   4.5  pass
flagged.fg                         react-hover                              light     5.62   4.5  pass
flagged.fg                         flagged.wash@apple-row                   light     5.37   4.5  pass
flagged.fg                         flagged.wash@apple-form                  light     5.37   4.5  pass
flagged.fg                         flagged.wash@android-surface             light     5.26   4.5  pass
flagged.fg                         flagged.wash@react-pane                  light     5.23   4.5  pass
flagged.fill                       apple-row                                light     6.39   3.0  pass
flagged.fill                       apple-form                               light     6.39   3.0  pass
flagged.fill                       apple-grouped                            light     5.73   3.0  pass
flagged.fill                       apple-sidebar                            light     5.27   3.0  pass
flagged.fill                       android-surface                          light     6.23   3.0  pass
flagged.fill                       react-bg                                 light     5.93   3.0  pass
flagged.fill                       react-pane                               light     6.23   3.0  pass
flagged.fill                       react-hover                              light     5.62   3.0  pass
flagged.on-fill                    flagged.fill                             light     6.19   4.5  pass
flag.red                           apple-row                                light     6.46   3.0  pass
flag.red                           apple-form                               light     6.46   3.0  pass
flag.red                           apple-grouped                            light     5.79   3.0  pass
flag.red                           apple-sidebar                            light     5.33   3.0  pass
flag.red                           android-surface                          light     6.30   3.0  pass
flag.red                           react-bg                                 light     5.99   3.0  pass
flag.red                           react-pane                               light     6.30   3.0  pass
flag.red                           react-hover                              light     5.68   3.0  pass
flag.orange                        apple-row                                light     5.80   3.0  pass
flag.orange                        apple-form                               light     5.80   3.0  pass
flag.orange                        apple-grouped                            light     5.19   3.0  pass
flag.orange                        apple-sidebar                            light     4.78   3.0  pass
flag.orange                        android-surface                          light     5.65   3.0  pass
flag.orange                        react-bg                                 light     5.38   3.0  pass
flag.orange                        react-pane                               light     5.65   3.0  pass
flag.orange                        react-hover                              light     5.10   3.0  pass
flag.yellow                        apple-row                                light     5.54   3.0  pass
flag.yellow                        apple-form                               light     5.54   3.0  pass
flag.yellow                        apple-grouped                            light     4.96   3.0  pass
flag.yellow                        apple-sidebar                            light     4.57   3.0  pass
flag.yellow                        android-surface                          light     5.40   3.0  pass
flag.yellow                        react-bg                                 light     5.13   3.0  pass
flag.yellow                        react-pane                               light     5.40   3.0  pass
flag.yellow                        react-hover                              light     4.87   3.0  pass
flag.green                         apple-row                                light     5.50   3.0  pass
flag.green                         apple-form                               light     5.50   3.0  pass
flag.green                         apple-grouped                            light     4.93   3.0  pass
flag.green                         apple-sidebar                            light     4.54   3.0  pass
flag.green                         android-surface                          light     5.36   3.0  pass
flag.green                         react-bg                                 light     5.10   3.0  pass
flag.green                         react-pane                               light     5.36   3.0  pass
flag.green                         react-hover                              light     4.83   3.0  pass
flag.teal                          apple-row                                light     5.59   3.0  pass
flag.teal                          apple-form                               light     5.59   3.0  pass
flag.teal                          apple-grouped                            light     5.01   3.0  pass
flag.teal                          apple-sidebar                            light     4.61   3.0  pass
flag.teal                          android-surface                          light     5.45   3.0  pass
flag.teal                          react-bg                                 light     5.19   3.0  pass
flag.teal                          react-pane                               light     5.45   3.0  pass
flag.teal                          react-hover                              light     4.92   3.0  pass
flag.blue                          apple-row                                light     5.80   3.0  pass
flag.blue                          apple-form                               light     5.80   3.0  pass
flag.blue                          apple-grouped                            light     5.20   3.0  pass
flag.blue                          apple-sidebar                            light     4.78   3.0  pass
flag.blue                          android-surface                          light     5.66   3.0  pass
flag.blue                          react-bg                                 light     5.38   3.0  pass
flag.blue                          react-pane                               light     5.65   3.0  pass
flag.blue                          react-hover                              light     5.10   3.0  pass
flag.indigo                        apple-row                                light     7.19   3.0  pass
flag.indigo                        apple-form                               light     7.19   3.0  pass
flag.indigo                        apple-grouped                            light     6.45   3.0  pass
flag.indigo                        apple-sidebar                            light     5.93   3.0  pass
flag.indigo                        android-surface                          light     7.02   3.0  pass
flag.indigo                        react-bg                                 light     6.67   3.0  pass
flag.indigo                        react-pane                               light     7.01   3.0  pass
flag.indigo                        react-hover                              light     6.32   3.0  pass
flag.purple                        apple-row                                light     7.06   3.0  pass
flag.purple                        apple-form                               light     7.06   3.0  pass
flag.purple                        apple-grouped                            light     6.33   3.0  pass
flag.purple                        apple-sidebar                            light     5.82   3.0  pass
flag.purple                        android-surface                          light     6.89   3.0  pass
flag.purple                        react-bg                                 light     6.55   3.0  pass
flag.purple                        react-pane                               light     6.88   3.0  pass
flag.purple                        react-hover                              light     6.21   3.0  pass
flag.pink                          apple-row                                light     6.43   3.0  pass
flag.pink                          apple-form                               light     6.43   3.0  pass
flag.pink                          apple-grouped                            light     5.76   3.0  pass
flag.pink                          apple-sidebar                            light     5.31   3.0  pass
flag.pink                          android-surface                          light     6.27   3.0  pass
flag.pink                          react-bg                                 light     5.97   3.0  pass
flag.pink                          react-pane                               light     6.27   3.0  pass
flag.pink                          react-hover                              light     5.65   3.0  pass
flag.gray                          apple-row                                light     5.52   3.0  pass
flag.gray                          apple-form                               light     5.52   3.0  pass
flag.gray                          apple-grouped                            light     4.95   3.0  pass
flag.gray                          apple-sidebar                            light     4.56   3.0  pass
flag.gray                          android-surface                          light     5.39   3.0  pass
flag.gray                          react-bg                                 light     5.12   3.0  pass
flag.gray                          react-pane                               light     5.38   3.0  pass
flag.gray                          react-hover                              light     4.86   3.0  pass
swatch.rose                        apple-row                                light     1.64   1.0  pass
swatch.rose                        apple-form                               light     1.64   1.0  pass
swatch.rose                        apple-grouped                            light     1.47   1.0  pass
swatch.rose                        apple-sidebar                            light     1.35   1.0  pass
swatch.rose                        android-surface                          light     1.60   1.0  pass
swatch.rose                        android-variant                          light     1.27   1.0  pass
swatch.rose                        react-bg                                 light     1.52   1.0  pass
swatch.rose                        react-pane                               light     1.60   1.0  pass
swatch.rose                        react-hover                              light     1.44   1.0  pass
swatch.sage                        apple-row                                light     1.54   1.0  pass
swatch.sage                        apple-form                               light     1.54   1.0  pass
swatch.sage                        apple-grouped                            light     1.38   1.0  pass
swatch.sage                        apple-sidebar                            light     1.27   1.0  pass
swatch.sage                        android-surface                          light     1.50   1.0  pass
swatch.sage                        android-variant                          light     1.19   1.0  pass
swatch.sage                        react-bg                                 light     1.42   1.0  pass
swatch.sage                        react-pane                               light     1.50   1.0  pass
swatch.sage                        react-hover                              light     1.35   1.0  pass
swatch.sand                        apple-row                                light     1.41   1.0  pass
swatch.sand                        apple-form                               light     1.41   1.0  pass
swatch.sand                        apple-grouped                            light     1.26   1.0  pass
swatch.sand                        apple-sidebar                            light     1.16   1.0  pass
swatch.sand                        android-surface                          light     1.37   1.0  pass
swatch.sand                        android-variant                          light     1.09   1.0  pass
swatch.sand                        react-bg                                 light     1.31   1.0  pass
swatch.sand                        react-pane                               light     1.37   1.0  pass
swatch.sand                        react-hover                              light     1.24   1.0  pass
swatch.sky                         apple-row                                light     1.60   1.0  pass
swatch.sky                         apple-form                               light     1.60   1.0  pass
swatch.sky                         apple-grouped                            light     1.43   1.0  pass
swatch.sky                         apple-sidebar                            light     1.32   1.0  pass
swatch.sky                         android-surface                          light     1.56   1.0  pass
swatch.sky                         android-variant                          light     1.24   1.0  pass
swatch.sky                         react-bg                                 light     1.48   1.0  pass
swatch.sky                         react-pane                               light     1.56   1.0  pass
swatch.sky                         react-hover                              light     1.41   1.0  pass
swatch.terracotta                  apple-row                                light     1.71   1.0  pass
swatch.terracotta                  apple-form                               light     1.71   1.0  pass
swatch.terracotta                  apple-grouped                            light     1.54   1.0  pass
swatch.terracotta                  apple-sidebar                            light     1.41   1.0  pass
swatch.terracotta                  android-surface                          light     1.67   1.0  pass
swatch.terracotta                  android-variant                          light     1.33   1.0  pass
swatch.terracotta                  react-bg                                 light     1.59   1.0  pass
swatch.terracotta                  react-pane                               light     1.67   1.0  pass
swatch.terracotta                  react-hover                              light     1.51   1.0  pass
swatch.lavender                    apple-row                                light     1.63   1.0  pass
swatch.lavender                    apple-form                               light     1.63   1.0  pass
swatch.lavender                    apple-grouped                            light     1.46   1.0  pass
swatch.lavender                    apple-sidebar                            light     1.34   1.0  pass
swatch.lavender                    android-surface                          light     1.59   1.0  pass
swatch.lavender                    android-variant                          light     1.26   1.0  pass
swatch.lavender                    react-bg                                 light     1.51   1.0  pass
swatch.lavender                    react-pane                               light     1.59   1.0  pass
swatch.lavender                    react-hover                              light     1.43   1.0  pass
swatch.teal                        apple-row                                light     1.54   1.0  pass
swatch.teal                        apple-form                               light     1.54   1.0  pass
swatch.teal                        apple-grouped                            light     1.38   1.0  pass
swatch.teal                        apple-sidebar                            light     1.27   1.0  pass
swatch.teal                        android-surface                          light     1.50   1.0  pass
swatch.teal                        android-variant                          light     1.19   1.0  pass
swatch.teal                        react-bg                                 light     1.42   1.0  pass
swatch.teal                        react-pane                               light     1.50   1.0  pass
swatch.teal                        react-hover                              light     1.35   1.0  pass
swatch.peach                       apple-row                                light     1.50   1.0  pass
swatch.peach                       apple-form                               light     1.50   1.0  pass
swatch.peach                       apple-grouped                            light     1.34   1.0  pass
swatch.peach                       apple-sidebar                            light     1.23   1.0  pass
swatch.peach                       android-surface                          light     1.46   1.0  pass
swatch.peach                       android-variant                          light     1.16   1.0  pass
swatch.peach                       react-bg                                 light     1.39   1.0  pass
swatch.peach                       react-pane                               light     1.46   1.0  pass
swatch.peach                       react-hover                              light     1.32   1.0  pass
swatch.moss                        apple-row                                light     1.59   1.0  pass
swatch.moss                        apple-form                               light     1.59   1.0  pass
swatch.moss                        apple-grouped                            light     1.42   1.0  pass
swatch.moss                        apple-sidebar                            light     1.31   1.0  pass
swatch.moss                        android-surface                          light     1.55   1.0  pass
swatch.moss                        android-variant                          light     1.23   1.0  pass
swatch.moss                        react-bg                                 light     1.47   1.0  pass
swatch.moss                        react-pane                               light     1.55   1.0  pass
swatch.moss                        react-hover                              light     1.40   1.0  pass
swatch.taupe                       apple-row                                light     1.61   1.0  pass
swatch.taupe                       apple-form                               light     1.61   1.0  pass
swatch.taupe                       apple-grouped                            light     1.45   1.0  pass
swatch.taupe                       apple-sidebar                            light     1.33   1.0  pass
swatch.taupe                       android-surface                          light     1.57   1.0  pass
swatch.taupe                       android-variant                          light     1.25   1.0  pass
swatch.taupe                       react-bg                                 light     1.50   1.0  pass
swatch.taupe                       react-pane                               light     1.57   1.0  pass
swatch.taupe                       react-hover                              light     1.42   1.0  pass
swatch.ink                         swatch.rose                              light     8.40   4.5  pass
swatch.ink                         swatch.sage                              light     8.96   4.5  pass
swatch.ink                         swatch.sand                              light     9.77   4.5  pass
swatch.ink                         swatch.sky                               light     8.60   4.5  pass
swatch.ink                         swatch.terracotta                        light     8.02   4.5  pass
swatch.ink                         swatch.lavender                          light     8.45   4.5  pass
swatch.ink                         swatch.teal                              light     8.96   4.5  pass
swatch.ink                         swatch.peach                             light     9.19   4.5  pass
swatch.ink                         swatch.moss                              light     8.65   4.5  pass
swatch.ink                         swatch.taupe                             light     8.53   4.5  pass
brand.forest                       apple-row                                dark      8.79   4.5  pass
brand.forest                       apple-form                               dark      7.20   4.5  pass
brand.forest                       apple-grouped                            dark      8.79   4.5  pass
brand.forest                       apple-sidebar                            dark      5.87   4.5  pass
brand.forest                       android-surface                          dark      8.85   4.5  pass
brand.forest                       react-bg                                 dark      9.89   4.5  pass
brand.forest                       react-pane                               dark      9.55   4.5  pass
brand.forest                       react-hover                              dark      8.05   4.5  pass
brand.forest                       watch                                    dark     10.85   4.5  pass
accent.forest.fg                   apple-row                                dark      8.79   4.5  pass
accent.forest.fg                   apple-form                               dark      7.20   4.5  pass
accent.forest.fg                   apple-grouped                            dark      8.79   4.5  pass
accent.forest.fg                   apple-sidebar                            dark      5.87   4.5  pass
accent.forest.fg                   android-surface                          dark      8.85   4.5  pass
accent.forest.fg                   react-bg                                 dark      9.89   4.5  pass
accent.forest.fg                   react-pane                               dark      9.55   4.5  pass
accent.forest.fg                   react-hover                              dark      8.05   4.5  pass
accent.forest.fg                   watch                                    dark     10.85   4.5  pass
accent.forest.fill                 apple-row                                dark      8.79   3.0  pass
accent.forest.fill                 apple-form                               dark      7.20   3.0  pass
accent.forest.fill                 apple-grouped                            dark      8.79   3.0  pass
accent.forest.fill                 apple-sidebar                            dark      5.87   3.0  pass
accent.forest.fill                 android-surface                          dark      8.85   3.0  pass
accent.forest.fill                 react-bg                                 dark      9.89   3.0  pass
accent.forest.fill                 react-pane                               dark      9.55   3.0  pass
accent.forest.fill                 react-hover                              dark      8.05   3.0  pass
accent.forest.fill                 watch                                    dark     10.85   3.0  pass
